"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50108971","","","","0"
"2017-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48976219","","","","0"
"2017-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","57230292","","","","0"
"2017-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","51628958","","","","0"
"2017-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","58611167","","","","0"
"2017-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","57616638","","","","0"
"2017-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49952925","","","","0"
"2017-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","56130113","","","","0"
"2017-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","55050848","","","","0"
"2017-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","55228843","","","","0"
"2017-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","57654427","","","","0"
"2017-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","52059894","","","","0"
"2017-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","53735647","","","","0"
"2017-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","53598962","","","","0"
"2017-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","53601036","","","","0"
"2017-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","54300872","","","","0"
"2017-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","54964041","","","","0"
"2017-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","53843758","","","","0"
"2017-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","52743861","","","","0"
"2017-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","53685353","","","","0"
"2017-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","54020908","","","","0"
"2017-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","53901449","","","","0"
"2017-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","55913001","","","","0"
"2017-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","55940389","","","","0"
"2017-01","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","50535566","","","","0"
"2017-02","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","49704595","","","","0"
"2017-03","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","58415459","","","","0"
"2017-04","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","53159360","","","","0"
"2017-05","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","57504395","","","","0"
"2017-06","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","55431993","","","","0"
"2017-07","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","48290440","","","","0"
"2017-08","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","56143016","","","","0"
"2017-09","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","53542691","","","","0"
"2017-10","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","57093952","","","","0"
