"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-12","Canada","2016A000011124","New orders, estimated values of orders received during month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800488","1.2.1.1","49203894","","","","0"
"2016-01","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","53368374","","","","0"
"2016-02","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","48004247","","","","0"
"2016-03","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","46976115","","","","0"
"2016-04","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","50730158","","","","0"
"2016-05","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","50186555","","","","0"
"2016-06","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","52370708","","","","0"
"2016-07","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","50525468","","","","0"
"2016-08","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","50066324","","","","0"
"2016-09","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","51259715","","","","0"
"2016-10","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","52235479","","","","0"
"2016-11","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","51848183","","","","0"
"2016-12","Canada","2016A000011124","New orders, estimated values of orders received during month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800913","1.2.2.1","51706529","","","","0"
"2016-01","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","91476073","","","","0"
"2016-02","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","89530712","","","","0"
"2016-03","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87021751","","","","0"
"2016-04","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87500589","","","","0"
"2016-05","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87969971","","","","0"
"2016-06","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","89695460","","","","0"
"2016-07","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","89371150","","","","0"
"2016-08","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87996001","","","","0"
"2016-09","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87428133","","","","0"
"2016-10","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87925538","","","","0"
"2016-11","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","87564086","","","","0"
"2016-12","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800951","1.3.1.1","85926000","","","","0"
"2016-01","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","91412680","","","","0"
"2016-02","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","89334201","","","","0"
"2016-03","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","86872478","","","","0"
"2016-04","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","87242008","","","","0"
"2016-05","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","87526048","","","","0"
"2016-06","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","89387662","","","","0"
"2016-07","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","89102290","","","","0"
"2016-08","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","87879120","","","","0"
"2016-09","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","87695947","","","","0"
"2016-10","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","88470199","","","","0"
"2016-11","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","88121222","","","","0"
"2016-12","Canada","2016A000011124","Unfilled orders, estimated values of orders at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803189","1.3.2.1","86361612","","","","0"
"2016-01","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28889731","","","","0"
"2016-02","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","29032891","","","","0"
"2016-03","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28992863","","","","0"
"2016-04","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28490391","","","","0"
"2016-05","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28340759","","","","0"
"2016-06","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28228237","","","","0"
"2016-07","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28774977","","","","0"
"2016-08","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28716165","","","","0"
"2016-09","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28773825","","","","0"
"2016-10","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28352768","","","","0"
"2016-11","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28177298","","","","0"
"2016-12","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801376","1.4.1.1","28657303","","","","0"
"2016-01","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28644451","","","","0"
"2016-02","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28537393","","","","0"
"2016-03","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28509059","","","","0"
"2016-04","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28381123","","","","0"
